name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
8735-58133-17,02:04:57.62,+06:03:59.14,0.72,2.77,19.99,33.16,2.42,2.09,270.16,1.22,C
6297-56218-817,22:33:33.17,+27:20:37.54,0.53,2.70,19.86,14.67,2.19,1.94,195.12,0.73,$\rm C^{\star}$
5314-55952-733,09:35:51.05,+08:51:30.31,0.46,2.56,19.55,18.56,1.74,1.32,293.60,1.75,$\rm C^{\star}$
5712-56602-365,09:15:26.16,+58:51:55.32,0.78,2.83,19.82,13.19,2.01,2.08,318.15,1.62,$\rm C^{\star}$
3960-55663-695,15:21:05.07,+25:41:10.01,0.60,2.43,19.65,21.22,2.59,5.56,180.85,0.58,C
10740-58223-219,15:46:12.04,+34:52:54.49,0.93,2.79,20.83,17.64,2.74,6.79,850.00,10.17,C
8849-57457-315,11:17:51.25,+36:23:43.68,0.68,2.47,20.47,27.77,5.27,0.68,245.18,1.00,B
3946-55659-954,15:54:58.12,+26:46:30.73,0.29,2.44,17.79,15.78,2.24,0.56,208.70,1.00,$\rm C^{\star}$
5896-56047-358,14:10:26.40,+21:28:52.30,0.31,2.95,18.18,15.15,2.87,3.81,137.85,0.44,$\rm C^{\star}$
3924-55332-559,16:03:24.84,+20:31:08.47,0.55,2.17,19.76,49.38,3.23,1.81,89.48,0.14,$\rm B^{\star}$
4418-55862-165,00:33:38.97,+04:27:34.94,0.53,2.19,19.66,30.06,3.29,3.43,201.63,0.74,$\rm C^{\star}$
5984-56337-923,12:43:00.17,+26:23:12.57,0.45,2.89,18.79,17.78,2.37,2.54,179.12,0.67,$\rm B^{\star}$
4224-55481-929,00:57:53.32,+00:16:00.70,0.49,2.60,19.21,20.63,2.84,0.32,188.82,0.70,$\rm C^{\star}$
6736-56366-505,14:34:28.11,+47:01:11.58,0.51,2.39,19.37,20.82,2.86,0.33,188.43,0.68,C
4452-55536-205,07:47:20.78,+27:29:14.97,0.27,2.18,17.43,55.00,2.62,2.61,244.18,1.37,$\rm C^{\star}$
6619-56371-904,12:58:20.56,+45:11:39.18,0.46,2.65,19.41,17.10,2.97,4.15,267.65,1.46,$\rm C^{\star}$
4085-55452-895,21:29:32.72,+08:07:51.96,0.41,2.53,18.45,24.79,3.99,4.64,227.05,1.08,$\rm C^{\star}$
3875-55364-935,15:01:14.61,+30:42:30.86,0.64,2.65,19.44,16.73,3.22,2.23,231.16,0.94,$\rm A^{\star}$
6025-56098-507,16:55:52.51,+46:21:38.64,0.47,2.79,19.58,14.22,3.22,1.49,232.28,1.10,C
5396-55947-145,12:21:07.56,+09:16:12.19,0.48,2.78,19.50,7.13,1.83,1.75,220.06,0.98,$\rm C^{\star}$
5038-56235-77,22:38:43.98,+15:19:59.49,0.57,2.31,20.06,18.42,2.54,2.77,297.78,1.58,$\rm C^{\star}$
3867-55652-544,14:20:06.70,+32:03:48.32,0.73,2.78,19.66,13.77,1.93,1.58,259.18,1.12,$\rm C^{\star}$
6471-56309-355,10:01:49.70,+27:36:47.16,0.62,2.20,19.60,27.82,2.94,1.21,205.34,0.71,$\rm B^{\star}$
